pr,"	Year", Month, Country, ISO3, ISO2
16.2084,1962,6,ZAF,,
5.94721,1962,7,ZAF,,
23.9364,1962,8,ZAF,,
9.22049,1962,9,ZAF,,
30.2191,1962,10,ZAF,,
84.3118,1962,11,ZAF,,
47.4076,1962,12,ZAF,,
106.197,1963,1,ZAF,,
31.6801,1963,2,ZAF,,
78.247,1963,3,ZAF,,
52.2994,1963,4,ZAF,,
16.5504,1963,5,ZAF,,
26.1941,1963,6,ZAF,,
26.221,1963,7,ZAF,,
12.4149,1963,8,ZAF,,
5.22049,1963,9,ZAF,,
47.846,1963,10,ZAF,,
72.6299,1963,11,ZAF,,
49.2557,1963,12,ZAF,,
63.2192,1964,1,ZAF,,
40.5166,1964,2,ZAF,,
45.0751,1964,3,ZAF,,
26.0563,1964,4,ZAF,,
5.4358,1964,5,ZAF,,
30.3406,1964,6,ZAF,,
4.20919,1964,7,ZAF,,
13.5133,1964,8,ZAF,,
22.6694,1964,9,ZAF,,
73.7575,1964,10,ZAF,,
39.974,1964,11,ZAF,,
62.7664,1964,12,ZAF,,
53.3146,1965,1,ZAF,,
29.2816,1965,2,ZAF,,
32.9551,1965,3,ZAF,,
46.5802,1965,4,ZAF,,
11.9157,1965,5,ZAF,,
16.1251,1965,6,ZAF,,
17.1987,1965,7,ZAF,,
12.6558,1965,8,ZAF,,
15.7026,1965,9,ZAF,,
33.4745,1965,10,ZAF,,
56.4532,1965,11,ZAF,,
30.2789,1965,12,ZAF,,
85.5065,1966,1,ZAF,,
65.2731,1966,2,ZAF,,
16.0091,1966,3,ZAF,,
17.748,1966,4,ZAF,,
12.8739,1966,5,ZAF,,
12.6103,1966,6,ZAF,,
5.75161,1966,7,ZAF,,
12.4844,1966,8,ZAF,,
20.925,1966,9,ZAF,,
30.2893,1966,10,ZAF,,
38.4155,1966,11,ZAF,,
61.2315,1966,12,ZAF,,
98.1227,1967,1,ZAF,,
84.8676,1967,2,ZAF,,
67.8478,1967,3,ZAF,,
91.4485,1967,4,ZAF,,
37.6269,1967,5,ZAF,,
17.8859,1967,6,ZAF,,
11.7055,1967,7,ZAF,,
11.2301,1967,8,ZAF,,
8.36026,1967,9,ZAF,,
34.1598,1967,10,ZAF,,
51.4348,1967,11,ZAF,,
33.8559,1967,12,ZAF,,
30.4656,1968,1,ZAF,,
27.6499,1968,2,ZAF,,
81.4082,1968,3,ZAF,,
41.1863,1968,4,ZAF,,
31.1497,1968,5,ZAF,,
14.3576,1968,6,ZAF,,
7.16421,1968,7,ZAF,,
14.9009,1968,8,ZAF,,
16.0072,1968,9,ZAF,,
29.2202,1968,10,ZAF,,
43.4417,1968,11,ZAF,,
51.1591,1968,12,ZAF,,
32.729,1969,1,ZAF,,
64.8413,1969,2,ZAF,,
85.973,1969,3,ZAF,,
