;0
1959-10-31;18.239
1959-11-30;20.7947
1959-12-31;21.8479
1960-01-31;22.7392
1960-02-29;22.6317
1960-03-31;20.9748
1960-04-30;16.7482
1960-05-31;13.3152
1960-06-30;11.0471
1960-07-31;10.4964
1960-08-31;14.1868
1960-09-30;16.6099
1960-10-31;19.4512
1960-11-30;21.0406
1960-12-31;22.0867
1961-01-31;22.5613
1961-02-28;22.9013
1961-03-31;21.1691
1961-04-30;17.9642
1961-05-31;13.6574
1961-06-30;11.9726
1961-07-31;12.0449
1961-08-31;12.3034
1961-09-30;16.6911
1961-10-31;17.5832
1961-11-30;20.6608
1961-12-31;21.3094
1962-01-31;23.1679
1962-02-28;22.4925
1962-03-31;21.2005
1962-04-30;17.3283
1962-05-31;13.9565
1962-06-30;11.3351
1962-07-31;11.5148
1962-08-31;13.4174
1962-09-30;16.5675
1962-10-31;19.1654
1962-11-30;20.1382
1962-12-31;22.8264
1963-01-31;22.4814
1963-02-28;22.6863
1963-03-31;20.2073
1963-04-30;16.7532
1963-05-31;13.3901
1963-06-30;11.0413
1963-07-31;10.0401
1963-08-31;12.6742
1963-09-30;18.0017
1963-10-31;19.4088
1963-11-30;21.0048
1963-12-31;22.612
1964-01-31;23.2426
1964-02-29;22.9472
1964-03-31;22.535
1964-04-30;17.3632
1964-05-31;14.5856
1964-06-30;9.79917
1964-07-31;10.0296
1964-08-31;12.1857
1964-09-30;15.5431
1964-10-31;18.0242
1964-11-30;19.7958
1964-12-31;21.7568
1965-01-31;23.1069
1965-02-28;23.0638
1965-03-31;21.2834
1965-04-30;17.3485
1965-05-31;14.0352
1965-06-30;9.34496
1965-07-31;11.2206
1965-08-31;14.0653
1965-09-30;16.8043
1965-10-31;17.0164
1965-11-30;20.007
1965-12-31;22.0002
1966-01-31;24.3264
1966-02-28;21.3015
1966-03-31;21.4176
1966-04-30;17.3741
1966-05-31;14.042
1966-06-30;12.2441
1966-07-31;10.9521
1966-08-31;13.360999999999999
1966-09-30;15.5027
1966-10-31;19.2233
1966-11-30;21.1678
1966-12-31;23.1315
1967-01-31;22.6993
1967-02-28;22.1822
1967-03-31;20.4618
1967-04-30;16.5279
1967-05-31;13.9675
1967-06-30;10.6928
1967-07-31;9.55827
1967-08-31;12.8109
1967-09-30;16.2097
1967-10-31;18.397000000000002
1967-11-30;21.0853
1967-12-31;22.851999999999997
1968-01-31;23.4418
1968-02-29;22.0297
1968-03-31;20.3119
1968-04-30;16.1565
1968-05-31;13.5673
1968-06-30;8.80636
1968-07-31;10.9608
1968-08-31;12.5085
1968-09-30;15.7648
1968-10-31;18.1519
1968-11-30;20.2429
1968-12-31;22.4647
1969-01-31;24.2452
1969-02-28;23.9221
1969-03-31;21.1625
1969-04-30;17.0533
1969-05-31;13.7979
1969-06-30;11.325
1969-07-31;11.6673
1969-08-31;13.5625
1969-09-30;15.3037
1969-10-31;17.9896
1969-11-30;20.7158
1969-12-31;22.6486
1970-01-31;24.0084
1970-02-28;22.9824
1970-03-31;21.8187
1970-04-30;18.56
1970-05-31;14.6926
1970-06-30;11.0673
1970-07-31;10.5997
1970-08-31;12.4722
1970-09-30;15.9725
1970-10-31;18.7013
1970-11-30;20.4904
1970-12-31;21.6279
1971-01-31;22.688000000000002
1971-02-28;22.0863
1971-03-31;21.7404
1971-04-30;18.0677
1971-05-31;13.8693
1971-06-30;11.5714
1971-07-31;11.1931
1971-08-31;11.8387
1971-09-30;15.835
1971-10-31;17.8919
1971-11-30;19.7136
1971-12-31;21.7946
1972-01-31;22.8255
1972-02-29;21.8247
1972-03-31;20.6092
1972-04-30;18.0591
1972-05-31;13.5851
1972-06-30;10.931
1972-07-31;11.2484
1972-08-31;12.4001
1972-09-30;16.2273
1972-10-31;19.6693
1972-11-30;21.5276
1972-12-31;23.2689
1973-01-31;23.9737
1973-02-28;22.5635
1973-03-31;22.2552
1973-04-30;17.789
1973-05-31;13.6573
1973-06-30;12.2985
1973-07-31;11.4811
1973-08-31;12.3695
1973-09-30;15.0738
1973-10-31;18.7951
1973-11-30;20.2342
1973-12-31;21.1836
1974-01-31;22.6742
1974-02-28;22.221
1974-03-31;20.3166
1974-04-30;17.3486
1974-05-31;13.6551
1974-06-30;11.2909
1974-07-31;11.0465
1974-08-31;11.7046
1974-09-30;15.081
1974-10-31;18.1965
1974-11-30;20.2041
1974-12-31;21.7901
1975-01-31;22.5863
1975-02-28;22.0208
1975-03-31;19.6153
1975-04-30;17.1569
1975-05-31;13.8244
1975-06-30;11.7289
1975-07-31;10.7134
1975-08-31;12.3296
1975-09-30;17.0314
1975-10-31;17.4903
1975-11-30;20.1024
1975-12-31;20.6634
1976-01-31;21.8604
1976-02-29;21.6022
1976-03-31;20.175
1976-04-30;17.3732
1976-05-31;13.8099
1976-06-30;10.722999999999999
1976-07-31;10.5694
1976-08-31;11.9384
1976-09-30;16.4016
1976-10-31;17.6125
1976-11-30;18.7547
1976-12-31;21.9183
1977-01-31;23.2862
1977-02-28;23.0478
1977-03-31;19.9066
1977-04-30;18.5895
1977-05-31;13.1147
1977-06-30;11.4187
1977-07-31;10.7933
1977-08-31;12.7064
1977-09-30;16.1351
1977-10-31;18.9757
1977-11-30;21.1342
1977-12-31;22.8466
1978-01-31;22.5663
1978-02-28;22.5105
1978-03-31;21.7737
1978-04-30;16.6198
1978-05-31;13.915
1978-06-30;10.4345
1978-07-31;12.0214
1978-08-31;13.5425
1978-09-30;15.1533
1978-10-31;17.0448
1978-11-30;21.1826
1978-12-31;22.1481
1979-01-31;22.5713
1979-02-28;23.4652
1979-03-31;21.0511
1979-04-30;19.3438
1979-05-31;14.7126
1979-06-30;11.5855
1979-07-31;10.503
1979-08-31;13.3951
1979-09-30;15.4537
1979-10-31;18.4681
1979-11-30;20.8549
1979-12-31;22.721999999999998
1980-01-31;22.7074
1980-02-29;22.8334
1980-03-31;21.689
1980-04-30;17.7427
1980-05-31;14.3075
1980-06-30;11.155999999999999
1980-07-31;11.3737
1980-08-31;13.8469
1980-09-30;15.2946
1980-10-31;19.0035
1980-11-30;19.6482
1980-12-31;22.2638
1981-01-31;22.8489
1981-02-28;22.4433
1981-03-31;19.9662
1981-04-30;18.2232
1981-05-31;14.675
1981-06-30;10.5321
1981-07-31;11.2252
1981-08-31;11.4883
1981-09-30;14.4531
1981-10-31;16.8833
1981-11-30;21.1828
1981-12-31;21.9926
1982-01-31;23.0104
1982-02-28;23.3426
1982-03-31;21.0387
1982-04-30;16.5
1982-05-31;14.5142
1982-06-30;11.3827
1982-07-31;11.3742
1982-08-31;13.3157
1982-09-30;17.5201
1982-10-31;18.747
1982-11-30;20.0713
1982-12-31;22.5964
1983-01-31;24.8128
1983-02-28;22.9749
1983-03-31;21.9469
1983-04-30;19.8243
1983-05-31;14.464
1983-06-30;12.0158
1983-07-31;11.6083
1983-08-31;12.5302
1983-09-30;16.8309
1983-10-31;18.8857
1983-11-30;20.7257
1983-12-31;22.7245
1984-01-31;23.7298
1984-02-29;24.0121
1984-03-31;22.1743
1984-04-30;17.9065
1984-05-31;14.2772
1984-06-30;11.675999999999998
1984-07-31;11.4647
1984-08-31;13.5725
1984-09-30;16.8309
1984-10-31;18.8486
1984-11-30;20.7072
1984-12-31;22.0545
1985-01-31;24.0188
1985-02-28;22.9964
1985-03-31;20.6886
1985-04-30;18.0687
1985-05-31;14.4099
1985-06-30;11.9409
1985-07-31;11.2128
1985-08-31;14.5048
1985-09-30;16.4977
1985-10-31;20.0339
1985-11-30;22.0354
1985-12-31;21.7346
1986-01-31;23.6759
1986-02-28;22.593000000000004
1986-03-31;21.2537
1986-04-30;18.7957
1986-05-31;15.6818
1986-06-30;11.9054
1986-07-31;11.364
1986-08-31;13.9345
1986-09-30;16.4746
1986-10-31;18.6137
1986-11-30;20.0717
1986-12-31;23.1878
1987-01-31;23.5121
1987-02-28;24.2182
1987-03-31;22.0207
1987-04-30;19.3217
1987-05-31;16.5178
1987-06-30;11.1795
1987-07-31;10.9901
1987-08-31;13.1183
1987-09-30;15.5039
1987-10-31;18.7081
1987-11-30;21.2591
1987-12-31;22.7946
1988-01-31;24.1469
1988-02-29;23.4119
1988-03-31;21.7991
1988-04-30;17.1728
1988-05-31;14.9583
1988-06-30;10.8392
1988-07-31;11.1759
1988-08-31;14.2627
